# DM decay power constrained results vs mass 
# JWST NIRSPEC run {run_name}
# lambda0 [micron]    g_a\gamma\gamma [GeV^-1] (for vanilla axion)    pc used
2.435379839032326021e+00 1.363174416562706505e-25 3.534060849711274217e-11 0.000000000000000000e+00
2.431526833815257138e+00 1.161570799670549397e-25 3.270036589185300969e-11 0.000000000000000000e+00
2.427683242546260445e+00 7.773202785927502131e-26 2.681392172306266899e-11 0.000000000000000000e+00
2.423849029379649966e+00 5.778160957915255244e-26 2.317313746052453164e-11 0.000000000000000000e+00
2.420024158656342905e+00 5.848477572098428998e-26 2.336900553256510575e-11 0.000000000000000000e+00
2.416208594902644613e+00 4.453423273199172568e-26 2.044060374045020034e-11 0.000000000000000000e+00
2.412402302829047773e+00 3.005775175241847133e-26 1.683263143635374654e-11 1.000000000000000000e+00
2.408605247329036025e+00 3.446281734166534391e-26 1.806655369243203381e-11 0.000000000000000000e+00
2.404817393477902687e+00 4.189615367910861269e-26 1.996697570849251042e-11 0.000000000000000000e+00
2.401038706531571254e+00 3.620159885133473798e-26 1.860430724518224076e-11 1.000000000000000000e+00
2.397269151925432329e+00 2.380602336440201056e-26 1.512225654901623411e-11 1.000000000000000000e+00
2.393508695273184106e+00 2.353151526846287558e-26 1.507026196659801590e-11 1.000000000000000000e+00
2.389757302365684399e+00 2.352259967169823382e-26 1.510289948094577979e-11 1.000000000000000000e+00
2.386014939169812443e+00 2.651064070488745506e-26 1.607121619321508665e-11 1.000000000000000000e+00
2.382281571827336020e+00 5.571110167278540753e-26 2.335229700832238052e-11 0.000000000000000000e+00
2.378557166653791022e+00 5.501611735703600155e-26 2.326070896056904779e-11 0.000000000000000000e+00
2.374841690137365458e+00 7.500767946112214925e-26 2.722383084494683484e-11 0.000000000000000000e+00
2.371135108937798552e+00 6.184234499687883715e-26 2.477746619009700185e-11 0.000000000000000000e+00
2.367437389885279408e+00 8.122059884624129405e-26 2.846188826471996072e-11 0.000000000000000000e+00
2.363748499979362094e+00 5.911975802440482053e-26 2.433956396680758182e-11 0.000000000000000000e+00
2.360068406387885620e+00 7.289557041693654723e-26 2.709019005296795164e-11 0.000000000000000000e+00
2.356397076445900129e+00 7.730763926308501691e-26 2.796319956199857788e-11 0.000000000000000000e+00
2.352734477654605971e+00 4.684053276071254636e-26 2.181724491986316685e-11 0.000000000000000000e+00
2.349080577680297210e+00 4.316179272989551199e-26 2.099187518661562322e-11 0.000000000000000000e+00
2.345435344353314022e+00 3.972501308167796325e-26 2.018576418994679036e-11 0.000000000000000000e+00
2.341798745667003079e+00 3.145116662927736569e-26 1.800289694400026779e-11 0.000000000000000000e+00
2.338170749776687263e+00 2.373976088509650553e-26 1.567733376785108586e-11 1.000000000000000000e+00
2.334551324998641597e+00 3.012096405959374844e-26 1.770017921754632737e-11 0.000000000000000000e+00
2.330940439809075837e+00 4.539453836486627273e-26 2.177977587529381265e-11 0.000000000000000000e+00
2.327338062843127720e+00 3.448332391795508637e-26 1.902671099763842438e-11 0.000000000000000000e+00
2.323744162893862875e+00 2.671624502534972473e-26 1.678624704488992476e-11 1.000000000000000000e+00
2.320158708911278733e+00 2.049902526328580021e-26 1.473799599804895449e-11 1.000000000000000000e+00
2.316581670001320870e+00 3.007890895025544764e-26 1.789402275469200077e-11 0.000000000000000000e+00
2.313013015424906449e+00 6.331511108142151801e-26 2.602165657720791152e-11 0.000000000000000000e+00
2.309452714596949008e+00 5.069966465487455020e-26 2.333927174750039425e-11 0.000000000000000000e+00
2.305900737085398777e+00 4.776924644877871298e-26 2.270709893721832990e-11 0.000000000000000000e+00
2.302357052610282562e+00 3.121061471469040716e-26 1.839672503384667208e-11 0.000000000000000000e+00
2.298821631042759162e+00 2.488488147692949045e-26 1.646486768484277091e-11 0.000000000000000000e+00
2.295294442404171686e+00 5.181761748985828976e-26 2.381384277179825751e-11 0.000000000000000000e+00
2.291775456865116745e+00 2.219906760353560803e-25 4.940349114758166580e-11 0.000000000000000000e+00
2.288264644744514076e+00 2.991421352719240720e-25 5.748145969123073919e-11 0.000000000000000000e+00
2.284761976508685066e+00 5.137061065046644282e-26 2.387504998816098852e-11 0.000000000000000000e+00
2.281267422770440145e+00 2.076502731223902323e-26 1.521424216257820819e-11 1.000000000000000000e+00
2.277780954288167958e+00 4.500136706256719275e-26 2.244880806872594981e-11 0.000000000000000000e+00
2.274302541964937419e+00 5.120053281366904125e-26 2.400011121962599488e-11 0.000000000000000000e+00
2.270832156847602867e+00 3.627730874077982066e-26 2.024828972912764276e-11 0.000000000000000000e+00
2.267369770125913675e+00 2.379585979980858674e-26 1.643673456546181569e-11 1.000000000000000000e+00
2.263915353131636721e+00 2.339241181650026855e-26 1.633411438733360651e-11 0.000000000000000000e+00
2.260468877337679316e+00 1.734890702320424855e-26 1.409894547788457876e-11 0.000000000000000000e+00
2.257030314357222345e+00 2.723821691051562123e-26 1.770645491749258385e-11 1.000000000000000000e+00
2.253599635942857393e+00 2.317451149140952630e-26 1.636961697122366539e-11 1.000000000000000000e+00
